drug_1,drug_2,severity
esomeprazole,oxycodone,1
codeine,tramadol,1
naproxen,clarithromycin,1
probiotic,vitamin c,1
alprazolam,ketoprofen,1
fluoxetine,erythromycin,1
lorazepam,fluoxetine,2
amiodarone,probiotic,1
alprazolam,codeine,3
apixaban,escitalopram,1
edoxaban,fluoxetine,1
lorazepam,warfarin,1
fluoxetine,amiodarone,3
pantoprazole,erythromycin,1
erythromycin,tramadol,1
escitalopram,sertraline,1
tramadol,vitamin d,1
clarithromycin,rosuvastatin,3
b12,azithromycin,1
diclofenac,ketoprofen,1
pantoprazole,alprazolam,1
pravastatin,codeine,1
enterogermina,pantoprazole,1
tramadol,clarithromycin,1
clarithromycin,rosuvastatin,3
acetaminophen,ibuprofen,1
edoxaban,dabigatran,1
tramadol,folic acid,1
amiodarone,fluoxetine,3
morphine,azithromycin,1
erythromycin,dabigatran,1
rivaroxaban,pravastatin,1
clarithromycin,paracetamol,1
azithromycin,apixaban,1
sertraline,paroxetine,1
azithromycin,omeprazole,1
oxycodone,ibuprofen,1
clonazepam,morphine,3
paracetamol,folic acid,1
azithromycin,tramadol,1
diazepam,dabigatran,1
lorazepam,oxycodone,3
paracetamol,enterogermina,1
folic acid,alprazolam,1
enterogermina,apixaban,1
folic acid,diclofenac,1
erythromycin,tramadol,1
diclofenac,simvastatin,1
apixaban,clarithromycin,1
dexketoprofen,clarithromycin,1
alprazolam,paracetamol,1
sertraline,omeprazole,1
escitalopram,tramadol,2
edoxaban,probiotic,1
fluoxetine,pravastatin,1
paroxetine,amiodarone,3
pravastatin,escitalopram,1
erythromycin,rivaroxaban,1
diclofenac,pravastatin,1
clarithromycin,erythromycin,3
folic acid,azithromycin,1
alprazolam,ibuprofen,1
rosuvastatin,vitamin c,1
lorazepam,b12,1
acetaminophen,erythromycin,1
tramadol,acetaminophen,1
vitamin d,edoxaban,1
morphine,dabigatran,1
dabigatran,dexketoprofen,1
dabigatran,diclofenac,1
pravastatin,edoxaban,1
probiotic,escitalopram,1
clarithromycin,probiotic,1
clonazepam,azithromycin,1
b12,azithromycin,1
edoxaban,clonazepam,1
pravastatin,escitalopram,1
codeine,azithromycin,1
dexketoprofen,alprazolam,1
dabigatran,alprazolam,1
omeprazole,diazepam,1
rosuvastatin,clonazepam,1
rosuvastatin,codeine,1
fluoxetine,dexketoprofen,2
paracetamol,dabigatran,1
warfarin,atorvastatin,1
enterogermina,diclofenac,1
oxycodone,amiodarone,1
b12,fluoxetine,1
clarithromycin,diclofenac,1
rivaroxaban,dabigatran,1
paracetamol,acetaminophen,1
atorvastatin,vitamin c,1
azithromycin,erythromycin,1
omeprazole,vitamin c,1
fluoxetine,b12,1
omeprazole,warfarin,1
edoxaban,amiodarone,1
sertraline,tramadol,2
oxycodone,diclofenac,1
dexketoprofen,vitamin d,1
pravastatin,enterogermina,1
dexketoprofen,paroxetine,2
diclofenac,diazepam,1
omeprazole,clonazepam,1
paracetamol,naproxen,1
amiodarone,b12,1
lorazepam,paroxetine,2
lorazepam,oxycodone,3
azithromycin,ketoprofen,1
paracetamol,erythromycin,1
lorazepam,omeprazole,1
sertraline,probiotic,1
rosuvastatin,warfarin,1
sertraline,acetaminophen,1
fluoxetine,alprazolam,2
vitamin d,atorvastatin,1
diazepam,pantoprazole,1
edoxaban,fluoxetine,1
dexketoprofen,codeine,1
warfarin,diazepam,1
morphine,erythromycin,1
rivaroxaban,diazepam,1
dexketoprofen,rivaroxaban,1
dexketoprofen,clarithromycin,1
folic acid,naproxen,1
erythromycin,azithromycin,1
amiodarone,clarithromycin,3
clarithromycin,ketoprofen,1
enterogermina,tramadol,1
naproxen,diazepam,1
acetaminophen,lorazepam,1
amiodarone,diclofenac,1
acetaminophen,esomeprazole,1
erythromycin,clarithromycin,3
atorvastatin,oxycodone,1
rosuvastatin,clarithromycin,3
edoxaban,azithromycin,1
vitamin c,b12,1
folic acid,paroxetine,1
codeine,amiodarone,1
tramadol,simvastatin,1
pravastatin,amiodarone,1
dexketoprofen,warfarin,3
vitamin d,clonazepam,1
tramadol,pantoprazole,1
paroxetine,rosuvastatin,1
erythromycin,erythromycin,1
lorazepam,dexketoprofen,1
fluoxetine,escitalopram,1
lorazepam,dexketoprofen,1
diazepam,warfarin,1
clarithromycin,naproxen,1
vitamin c,ketoprofen,1
simvastatin,apixaban,1
dabigatran,fluoxetine,1
paracetamol,dabigatran,1
folic acid,enterogermina,1
rivaroxaban,esomeprazole,1
b12,clarithromycin,1
azithromycin,diazepam,1
omeprazole,pantoprazole,1
clarithromycin,omeprazole,1
atorvastatin,dexketoprofen,1
erythromycin,naproxen,1
dexketoprofen,warfarin,3
fluoxetine,paroxetine,1
esomeprazole,pantoprazole,1
apixaban,pravastatin,1
oxycodone,apixaban,1
simvastatin,omeprazole,2
simvastatin,clarithromycin,3
probiotic,esomeprazole,1
edoxaban,morphine,1
rosuvastatin,lorazepam,1
rosuvastatin,simvastatin,1
edoxaban,clonazepam,1
warfarin,escitalopram,3
omeprazole,simvastatin,2
fluoxetine,sertraline,1
paracetamol,b12,1
folic acid,omeprazole,1
pantoprazole,omeprazole,1
clarithromycin,clarithromycin,1
pantoprazole,alprazolam,1
naproxen,vitamin d,1
esomeprazole,ketoprofen,1
folic acid,edoxaban,1
codeine,erythromycin,1
alprazolam,dexketoprofen,1
atorvastatin,vitamin d,1
rivaroxaban,probiotic,1
paracetamol,vitamin d,1
escitalopram,apixaban,1
simvastatin,clarithromycin,3
vitamin d,lorazepam,1
folic acid,sertraline,1
erythromycin,probiotic,1
fluoxetine,diclofenac,2
ketoprofen,acetaminophen,1
vitamin c,paroxetine,1
codeine,diazepam,3
enterogermina,apixaban,1
pravastatin,edoxaban,1
b12,dabigatran,1
paroxetine,warfarin,3
probiotic,fluoxetine,1
dabigatran,fluoxetine,1
acetaminophen,clonazepam,1
ketoprofen,probiotic,1
erythromycin,simvastatin,3
b12,azithromycin,1
clarithromycin,omeprazole,1
ibuprofen,warfarin,3
esomeprazole,ketoprofen,1
b12,edoxaban,1
edoxaban,paroxetine,1
b12,morphine,1
atorvastatin,acetaminophen,1
apixaban,atorvastatin,1
amiodarone,vitamin c,1
diazepam,dexketoprofen,1
ibuprofen,fluoxetine,2
edoxaban,ketoprofen,1
rivaroxaban,sertraline,1
fluoxetine,apixaban,1
ibuprofen,vitamin c,1
azithromycin,diazepam,1
diazepam,rosuvastatin,1
erythromycin,morphine,1
rosuvastatin,edoxaban,1
erythromycin,esomeprazole,1
erythromycin,fluoxetine,1
morphine,edoxaban,1
ibuprofen,paracetamol,1
clonazepam,alprazolam,1
ibuprofen,tramadol,1
codeine,rosuvastatin,1
diazepam,b12,1
clonazepam,ketoprofen,1
simvastatin,pantoprazole,2
naproxen,tramadol,1
probiotic,omeprazole,1
ibuprofen,ketoprofen,1
enterogermina,atorvastatin,1
vitamin c,probiotic,1
sertraline,vitamin d,1
sertraline,warfarin,3
oxycodone,diclofenac,1
alprazolam,edoxaban,1
pravastatin,b12,1
apixaban,paracetamol,1
fluoxetine,warfarin,3
acetaminophen,rivaroxaban,1
probiotic,simvastatin,1
oxycodone,edoxaban,1
escitalopram,rosuvastatin,1
clarithromycin,tramadol,1
folic acid,naproxen,1
clarithromycin,edoxaban,1
enterogermina,rivaroxaban,1
rivaroxaban,clarithromycin,1
pravastatin,alprazolam,1
warfarin,erythromycin,3
esomeprazole,edoxaban,1
dexketoprofen,clarithromycin,1
acetaminophen,amiodarone,1
ketoprofen,diclofenac,1
esomeprazole,ibuprofen,1
ketoprofen,azithromycin,1
pantoprazole,esomeprazole,1
diazepam,b12,1
diclofenac,amiodarone,1
morphine,paroxetine,2
ketoprofen,probiotic,1
vitamin c,omeprazole,1
erythromycin,alprazolam,1
rivaroxaban,ketoprofen,1
acetaminophen,dexketoprofen,1
oxycodone,atorvastatin,1
fluoxetine,edoxaban,1
folic acid,naproxen,1
paracetamol,edoxaban,1
oxycodone,folic acid,1
naproxen,rivaroxaban,1
erythromycin,codeine,1
vitamin d,ibuprofen,1
rosuvastatin,warfarin,1
morphine,ketoprofen,1
paroxetine,vitamin c,1
probiotic,oxycodone,1
dabigatran,erythromycin,1
enterogermina,rosuvastatin,1
clonazepam,omeprazole,1
vitamin d,sertraline,1
codeine,amiodarone,1
dexketoprofen,naproxen,1
dexketoprofen,omeprazole,1
vitamin c,naproxen,1
clarithromycin,probiotic,1
paracetamol,esomeprazole,1
probiotic,azithromycin,1
apixaban,omeprazole,1
vitamin d,folic acid,1
oxycodone,clarithromycin,1
edoxaban,diclofenac,1
tramadol,dabigatran,1
diazepam,probiotic,1
rosuvastatin,amiodarone,1
erythromycin,dexketoprofen,1
naproxen,escitalopram,2
pravastatin,folic acid,1
lorazepam,naproxen,1
vitamin c,escitalopram,1
dexketoprofen,clarithromycin,1
diclofenac,paracetamol,1
rosuvastatin,ketoprofen,1
enterogermina,atorvastatin,1
probiotic,vitamin c,1
edoxaban,rivaroxaban,1
dexketoprofen,atorvastatin,1
vitamin c,probiotic,1
paracetamol,clarithromycin,1
sertraline,oxycodone,2
clarithromycin,fluoxetine,1
acetaminophen,clarithromycin,1
azithromycin,ibuprofen,1
apixaban,ketoprofen,1
esomeprazole,clarithromycin,1
dabigatran,erythromycin,1
fluoxetine,paracetamol,1
tramadol,morphine,1
dexketoprofen,erythromycin,1
simvastatin,clarithromycin,3
warfarin,amiodarone,3
rosuvastatin,paracetamol,1
erythromycin,escitalopram,1
clarithromycin,ketoprofen,1
vitamin c,paroxetine,1
clonazepam,ibuprofen,1
folic acid,diclofenac,1
clarithromycin,atorvastatin,3
lorazepam,simvastatin,1
vitamin c,folic acid,1
diclofenac,paracetamol,1
folic acid,dexketoprofen,1
erythromycin,vitamin d,1
omeprazole,alprazolam,1
edoxaban,erythromycin,1
pantoprazole,erythromycin,1
warfarin,erythromycin,3
dabigatran,probiotic,1
erythromycin,b12,1
simvastatin,azithromycin,3
acetaminophen,enterogermina,1
ketoprofen,codeine,1
clonazepam,warfarin,1
paracetamol,dexketoprofen,1
vitamin d,paracetamol,1
sertraline,alprazolam,2
dabigatran,sertraline,1
simvastatin,vitamin c,1
simvastatin,diclofenac,1
ketoprofen,warfarin,3
dexketoprofen,codeine,1
pravastatin,lorazepam,1
edoxaban,sertraline,1
diazepam,paracetamol,1
amiodarone,paroxetine,3
clonazepam,fluoxetine,2
sertraline,omeprazole,1
pravastatin,paracetamol,1
apixaban,codeine,1
rosuvastatin,paroxetine,1
atorvastatin,dabigatran,1
clarithromycin,amiodarone,3
warfarin,codeine,1
warfarin,vitamin c,1
azithromycin,folic acid,1
clarithromycin,probiotic,1
fluoxetine,dabigatran,1
warfarin,morphine,1
fluoxetine,dexketoprofen,2
lorazepam,atorvastatin,1
acetaminophen,rivaroxaban,1
morphine,vitamin d,1
morphine,dexketoprofen,1
escitalopram,sertraline,1
rivaroxaban,erythromycin,1
paracetamol,warfarin,1
tramadol,folic acid,1
simvastatin,omeprazole,2
erythromycin,erythromycin,1
erythromycin,lorazepam,1
pravastatin,diclofenac,1
omeprazole,clarithromycin,1
alprazolam,b12,1
rosuvastatin,ketoprofen,1
atorvastatin,probiotic,1
fluoxetine,naproxen,2
warfarin,sertraline,3
oxycodone,folic acid,1
dabigatran,ketoprofen,1
acetaminophen,atorvastatin,1
edoxaban,escitalopram,1
edoxaban,enterogermina,1
atorvastatin,pantoprazole,2
pravastatin,fluoxetine,1
erythromycin,codeine,1
dexketoprofen,vitamin c,1
codeine,erythromycin,1
naproxen,apixaban,1
naproxen,pantoprazole,1
rosuvastatin,esomeprazole,2
ibuprofen,dexketoprofen,1
edoxaban,vitamin c,1
b12,ketoprofen,1
pravastatin,escitalopram,1
pantoprazole,folic acid,1
diazepam,codeine,3
rosuvastatin,esomeprazole,2
ibuprofen,omeprazole,1
erythromycin,codeine,1
paracetamol,escitalopram,1
tramadol,paracetamol,1
dabigatran,vitamin d,1
fluoxetine,dexketoprofen,2
fluoxetine,sertraline,1
ketoprofen,clarithromycin,1
folic acid,edoxaban,1
rosuvastatin,clarithromycin,3
alprazolam,b12,1
diazepam,warfarin,1
erythromycin,edoxaban,1
simvastatin,rosuvastatin,1
acetaminophen,folic acid,1
omeprazole,amiodarone,1
rosuvastatin,b12,1
azithromycin,probiotic,1
paroxetine,vitamin d,1
morphine,vitamin c,1
oxycodone,diclofenac,1
dexketoprofen,clarithromycin,1
folic acid,b12,1
probiotic,pantoprazole,1
dabigatran,probiotic,1
vitamin c,escitalopram,1
azithromycin,clarithromycin,1
diazepam,warfarin,1
rivaroxaban,probiotic,1
ketoprofen,rivaroxaban,1
paroxetine,pantoprazole,1
diazepam,fluoxetine,2
azithromycin,codeine,1
acetaminophen,vitamin c,1
rosuvastatin,erythromycin,3
omeprazole,edoxaban,1
amiodarone,rosuvastatin,1
apixaban,folic acid,1
ibuprofen,dabigatran,1
atorvastatin,lorazepam,1
probiotic,azithromycin,1
rivaroxaban,sertraline,1
diazepam,diclofenac,1
diclofenac,codeine,1
alprazolam,lorazepam,1
pantoprazole,tramadol,1
diazepam,alprazolam,1
tramadol,clonazepam,3
diclofenac,diazepam,1
edoxaban,dexketoprofen,1
apixaban,oxycodone,1
warfarin,acetaminophen,1
dexketoprofen,edoxaban,1
vitamin c,simvastatin,1
pravastatin,b12,1
rivaroxaban,tramadol,1
warfarin,clarithromycin,3
paracetamol,dabigatran,1
oxycodone,amiodarone,1
simvastatin,pantoprazole,2
ketoprofen,probiotic,1
enterogermina,lorazepam,1
clarithromycin,oxycodone,1
dabigatran,diclofenac,1
ibuprofen,vitamin c,1
alprazolam,vitamin c,1
b12,atorvastatin,1
pravastatin,ibuprofen,1
azithromycin,codeine,1
simvastatin,dabigatran,1
simvastatin,alprazolam,1
pravastatin,sertraline,1
sertraline,morphine,2
amiodarone,pravastatin,1
sertraline,oxycodone,2
dexketoprofen,codeine,1
erythromycin,lorazepam,1
ibuprofen,pravastatin,1
atorvastatin,diclofenac,1
sertraline,edoxaban,1
naproxen,simvastatin,1
clarithromycin,acetaminophen,1
lorazepam,clonazepam,1
dexketoprofen,lorazepam,1
alprazolam,esomeprazole,1
erythromycin,acetaminophen,1
clarithromycin,escitalopram,1
tramadol,dabigatran,1
lorazepam,enterogermina,1
warfarin,diclofenac,3
oxycodone,warfarin,1
lorazepam,edoxaban,1
paracetamol,apixaban,1
dabigatran,clarithromycin,1
lorazepam,simvastatin,1
paroxetine,clarithromycin,1
ibuprofen,clarithromycin,1
enterogermina,clarithromycin,1
codeine,escitalopram,2
azithromycin,lorazepam,1
alprazolam,edoxaban,1
alprazolam,esomeprazole,1
fluoxetine,folic acid,1
simvastatin,apixaban,1
rosuvastatin,oxycodone,1
edoxaban,pantoprazole,1
pravastatin,rivaroxaban,1
rosuvastatin,enterogermina,1
escitalopram,morphine,2
sertraline,apixaban,1
lorazepam,azithromycin,1
rivaroxaban,amiodarone,1
paroxetine,edoxaban,1
apixaban,vitamin d,1
pantoprazole,esomeprazole,1
omeprazole,clarithromycin,1
dexketoprofen,fluoxetine,2
acetaminophen,fluoxetine,1
folic acid,vitamin c,1
escitalopram,naproxen,2
naproxen,rivaroxaban,1
esomeprazole,vitamin d,1
morphine,apixaban,1
clarithromycin,naproxen,1
rosuvastatin,naproxen,1
lorazepam,amiodarone,3
folic acid,diclofenac,1
edoxaban,omeprazole,1
probiotic,esomeprazole,1
oxycodone,pantoprazole,1
vitamin c,edoxaban,1
probiotic,azithromycin,1
tramadol,enterogermina,1
pravastatin,morphine,1
clarithromycin,dabigatran,1
escitalopram,diazepam,2
naproxen,erythromycin,1
omeprazole,dexketoprofen,1
naproxen,dabigatran,1
paroxetine,atorvastatin,1
edoxaban,vitamin c,1
alprazolam,erythromycin,1
ketoprofen,diazepam,1
rosuvastatin,dexketoprofen,1
vitamin d,probiotic,1
acetaminophen,ketoprofen,1
ibuprofen,acetaminophen,1
dabigatran,tramadol,1
rosuvastatin,sertraline,1
vitamin d,lorazepam,1
diazepam,paracetamol,1
simvastatin,rosuvastatin,1
alprazolam,clarithromycin,1
enterogermina,pantoprazole,1
probiotic,codeine,1
rosuvastatin,omeprazole,2
tramadol,oxycodone,1
morphine,fluoxetine,2
paroxetine,azithromycin,1
dexketoprofen,diazepam,1
erythromycin,ibuprofen,1
azithromycin,warfarin,3
erythromycin,warfarin,3
fluoxetine,diclofenac,2
paracetamol,clonazepam,1
clarithromycin,tramadol,1
edoxaban,esomeprazole,1
dabigatran,pantoprazole,1
enterogermina,azithromycin,1
alprazolam,clarithromycin,1
clonazepam,dabigatran,1
alprazolam,oxycodone,3
atorvastatin,rosuvastatin,1
ketoprofen,dexketoprofen,1
ibuprofen,oxycodone,1
probiotic,tramadol,1
tramadol,atorvastatin,1
fluoxetine,omeprazole,1
azithromycin,morphine,1
azithromycin,diazepam,1
apixaban,ibuprofen,1
erythromycin,lorazepam,1
azithromycin,paracetamol,1
clonazepam,morphine,3
enterogermina,vitamin c,1
probiotic,enterogermina,1
diazepam,ketoprofen,1
tramadol,erythromycin,1
tramadol,diclofenac,1
amiodarone,vitamin d,1
simvastatin,warfarin,1
sertraline,dabigatran,1
warfarin,diclofenac,3
dabigatran,probiotic,1
paroxetine,atorvastatin,1
amiodarone,b12,1
enterogermina,fluoxetine,1
vitamin c,acetaminophen,1
clarithromycin,probiotic,1
edoxaban,ketoprofen,1
edoxaban,vitamin d,1
oxycodone,vitamin c,1
omeprazole,ibuprofen,1
rivaroxaban,ibuprofen,1
paracetamol,lorazepam,1
naproxen,rivaroxaban,1
tramadol,vitamin c,1
morphine,lorazepam,3
esomeprazole,clarithromycin,1
codeine,paroxetine,2
tramadol,b12,1
vitamin c,rosuvastatin,1
rosuvastatin,codeine,1
enterogermina,fluoxetine,1
atorvastatin,warfarin,1
vitamin c,diazepam,1
edoxaban,codeine,1
morphine,warfarin,1
tramadol,paroxetine,2
erythromycin,folic acid,1
paroxetine,edoxaban,1
apixaban,enterogermina,1
morphine,clarithromycin,1
amiodarone,acetaminophen,1
dexketoprofen,paracetamol,1
amiodarone,erythromycin,3
vitamin c,morphine,1
erythromycin,alprazolam,1
morphine,esomeprazole,1
ibuprofen,warfarin,3
vitamin c,edoxaban,1
folic acid,tramadol,1
acetaminophen,pantoprazole,1
ketoprofen,dexketoprofen,1
erythromycin,enterogermina,1
escitalopram,paroxetine,1
diclofenac,sertraline,2
morphine,dabigatran,1
ibuprofen,dexketoprofen,1
ibuprofen,clarithromycin,1
dexketoprofen,apixaban,1
dexketoprofen,erythromycin,1
atorvastatin,dexketoprofen,1
oxycodone,warfarin,1
acetaminophen,codeine,1
clarithromycin,warfarin,3
probiotic,dexketoprofen,1
edoxaban,sertraline,1
amiodarone,ibuprofen,1
paroxetine,pantoprazole,1
morphine,esomeprazole,1
clonazepam,pantoprazole,1
rivaroxaban,pravastatin,1
vitamin d,clarithromycin,1
vitamin c,alprazolam,1
fluoxetine,naproxen,2
lorazepam,simvastatin,1
codeine,fluoxetine,2
warfarin,vitamin c,1
apixaban,naproxen,1
folic acid,oxycodone,1
naproxen,tramadol,1
diazepam,pravastatin,1
lorazepam,vitamin d,1
escitalopram,rivaroxaban,1
dabigatran,b12,1
dexketoprofen,escitalopram,2
lorazepam,amiodarone,3
clarithromycin,omeprazole,1
acetaminophen,paracetamol,1
vitamin c,rivaroxaban,1
paroxetine,edoxaban,1
vitamin c,omeprazole,1
clarithromycin,oxycodone,1
azithromycin,simvastatin,3
diclofenac,clarithromycin,1
apixaban,diclofenac,1
enterogermina,amiodarone,1
vitamin d,rivaroxaban,1
simvastatin,erythromycin,3
b12,oxycodone,1
tramadol,vitamin c,1
fluoxetine,omeprazole,1
amiodarone,clarithromycin,3
edoxaban,ibuprofen,1
warfarin,dabigatran,1
esomeprazole,probiotic,1
lorazepam,morphine,3
paracetamol,lorazepam,1
alprazolam,clarithromycin,1
oxycodone,escitalopram,2
clarithromycin,lorazepam,1
amiodarone,simvastatin,1
amiodarone,clarithromycin,3
clarithromycin,simvastatin,3
probiotic,omeprazole,1
paracetamol,esomeprazole,1
apixaban,simvastatin,1
folic acid,vitamin d,1
naproxen,simvastatin,1
naproxen,oxycodone,1
diclofenac,apixaban,1
clarithromycin,amiodarone,3
erythromycin,paracetamol,1
morphine,amiodarone,1
pravastatin,lorazepam,1
erythromycin,acetaminophen,1
vitamin c,rosuvastatin,1
clarithromycin,erythromycin,3
escitalopram,folic acid,1
rosuvastatin,simvastatin,1
b12,erythromycin,1
paroxetine,dexketoprofen,2
paroxetine,amiodarone,3
diclofenac,oxycodone,1
fluoxetine,omeprazole,1
tramadol,edoxaban,1
ibuprofen,esomeprazole,1
fluoxetine,pantoprazole,1
ibuprofen,rosuvastatin,1
tramadol,probiotic,1
tramadol,diclofenac,1
esomeprazole,dabigatran,1
alprazolam,naproxen,1
probiotic,naproxen,1
paroxetine,apixaban,1
fluoxetine,vitamin c,1
paracetamol,erythromycin,1
erythromycin,simvastatin,3
fluoxetine,diazepam,2
dexketoprofen,vitamin d,1
enterogermina,erythromycin,1
paroxetine,probiotic,1
sertraline,acetaminophen,1
simvastatin,tramadol,1
escitalopram,lorazepam,2
b12,warfarin,1
warfarin,paracetamol,1
clarithromycin,morphine,1
oxycodone,atorvastatin,1
simvastatin,probiotic,1
morphine,naproxen,1
diclofenac,edoxaban,1
amiodarone,b12,1
rivaroxaban,pravastatin,1
ibuprofen,clarithromycin,1
sertraline,escitalopram,1
simvastatin,edoxaban,1
escitalopram,rosuvastatin,1
diclofenac,rivaroxaban,1
dexketoprofen,edoxaban,1
folic acid,codeine,1
azithromycin,oxycodone,1
edoxaban,diclofenac,1
omeprazole,apixaban,1
morphine,acetaminophen,1
amiodarone,omeprazole,1
lorazepam,esomeprazole,1
oxycodone,probiotic,1
rosuvastatin,probiotic,1
paroxetine,diazepam,2
diclofenac,dexketoprofen,1
paroxetine,vitamin d,1
tramadol,simvastatin,1
edoxaban,erythromycin,1
codeine,oxycodone,1
b12,ketoprofen,1
vitamin d,simvastatin,1
ketoprofen,simvastatin,1
rivaroxaban,sertraline,1
alprazolam,diazepam,1
dexketoprofen,morphine,1
folic acid,erythromycin,1
tramadol,esomeprazole,1
paroxetine,rivaroxaban,1
pantoprazole,tramadol,1
morphine,atorvastatin,1
ibuprofen,vitamin c,1
fluoxetine,oxycodone,2
folic acid,erythromycin,1
clarithromycin,diazepam,1
pravastatin,vitamin d,1
codeine,simvastatin,1
azithromycin,vitamin c,1
vitamin c,apixaban,1
erythromycin,diazepam,1
pravastatin,enterogermina,1
azithromycin,fluoxetine,1
esomeprazole,lorazepam,1
vitamin d,pravastatin,1
vitamin d,tramadol,1
diazepam,omeprazole,1
probiotic,ketoprofen,1
lorazepam,esomeprazole,1
simvastatin,escitalopram,1
ketoprofen,omeprazole,1
sertraline,dexketoprofen,2
paracetamol,pravastatin,1
tramadol,ketoprofen,1
vitamin d,esomeprazole,1
tramadol,clarithromycin,1
folic acid,dabigatran,1
pravastatin,paracetamol,1
azithromycin,pantoprazole,1
morphine,rosuvastatin,1
pantoprazole,lorazepam,1
simvastatin,amiodarone,1
lorazepam,escitalopram,2
atorvastatin,edoxaban,1
vitamin c,diclofenac,1
probiotic,simvastatin,1
pravastatin,ibuprofen,1
oxycodone,acetaminophen,1
dexketoprofen,probiotic,1
oxycodone,acetaminophen,1
diazepam,erythromycin,1
rosuvastatin,acetaminophen,1
pantoprazole,lorazepam,1
clarithromycin,folic acid,1
paracetamol,erythromycin,1
enterogermina,azithromycin,1
clarithromycin,apixaban,1
paracetamol,amiodarone,1
morphine,enterogermina,1
erythromycin,clonazepam,1
acetaminophen,clarithromycin,1
folic acid,clarithromycin,1
morphine,omeprazole,1
paracetamol,clonazepam,1
vitamin d,vitamin c,1
naproxen,amiodarone,1
morphine,edoxaban,1
warfarin,omeprazole,1
oxycodone,amiodarone,1
morphine,rosuvastatin,1
azithromycin,alprazolam,1
diazepam,pravastatin,1
clonazepam,dexketoprofen,1
clarithromycin,enterogermina,1
pantoprazole,diazepam,1
naproxen,folic acid,1
vitamin d,diclofenac,1
paracetamol,clarithromycin,1
paroxetine,naproxen,2
esomeprazole,enterogermina,1
vitamin d,atorvastatin,1
vitamin d,pravastatin,1
erythromycin,tramadol,1
pravastatin,naproxen,1
ibuprofen,pravastatin,1
pantoprazole,enterogermina,1
fluoxetine,diazepam,2
vitamin c,edoxaban,1
acetaminophen,pantoprazole,1
rosuvastatin,pravastatin,1
probiotic,ketoprofen,1
dexketoprofen,clonazepam,1
amiodarone,acetaminophen,1
erythromycin,alprazolam,1
codeine,erythromycin,1
edoxaban,paroxetine,1
folic acid,atorvastatin,1
clonazepam,probiotic,1
vitamin d,ketoprofen,1
escitalopram,paroxetine,1
edoxaban,erythromycin,1
tramadol,warfarin,1
clarithromycin,ketoprofen,1
vitamin d,tramadol,1
rivaroxaban,paracetamol,1
dabigatran,clonazepam,1
folic acid,dexketoprofen,1
warfarin,acetaminophen,1
pravastatin,apixaban,1
vitamin c,lorazepam,1
paroxetine,morphine,2
clonazepam,esomeprazole,1
apixaban,codeine,1
amiodarone,pravastatin,1
vitamin d,codeine,1
vitamin d,naproxen,1
clarithromycin,acetaminophen,1
diclofenac,erythromycin,1
edoxaban,folic acid,1
pantoprazole,clonazepam,1
esomeprazole,amiodarone,1
erythromycin,erythromycin,1
azithromycin,rosuvastatin,3
probiotic,dexketoprofen,1
vitamin c,amiodarone,1
simvastatin,probiotic,1
pravastatin,fluoxetine,1
clarithromycin,fluoxetine,1
morphine,ibuprofen,1
pantoprazole,escitalopram,1
simvastatin,dexketoprofen,1
erythromycin,probiotic,1
enterogermina,paroxetine,1
vitamin d,clarithromycin,1
naproxen,tramadol,1
dexketoprofen,ibuprofen,1
azithromycin,dabigatran,1
sertraline,vitamin d,1
paroxetine,clarithromycin,1
esomeprazole,lorazepam,1
amiodarone,dexketoprofen,1
omeprazole,acetaminophen,1
acetaminophen,clarithromycin,1
dexketoprofen,probiotic,1
sertraline,omeprazole,1
omeprazole,enterogermina,1
clarithromycin,oxycodone,1
amiodarone,clarithromycin,3
warfarin,clarithromycin,3
amiodarone,paroxetine,3
enterogermina,alprazolam,1
sertraline,probiotic,1
paroxetine,ketoprofen,2
vitamin d,alprazolam,1
lorazepam,vitamin d,1
oxycodone,azithromycin,1
sertraline,naproxen,2
clarithromycin,folic acid,1
probiotic,vitamin c,1
naproxen,atorvastatin,1
simvastatin,azithromycin,3
diazepam,ketoprofen,1
vitamin d,rosuvastatin,1
morphine,acetaminophen,1
probiotic,erythromycin,1
morphine,paracetamol,1
ketoprofen,alprazolam,1
acetaminophen,codeine,1
b12,naproxen,1
esomeprazole,rosuvastatin,2
probiotic,warfarin,1
codeine,erythromycin,1
diclofenac,sertraline,2
dabigatran,codeine,1
atorvastatin,diclofenac,1
erythromycin,lorazepam,1
atorvastatin,fluoxetine,1
pantoprazole,naproxen,1
azithromycin,omeprazole,1
acetaminophen,lorazepam,1
ketoprofen,edoxaban,1
dabigatran,erythromycin,1
alprazolam,b12,1
apixaban,diazepam,1
acetaminophen,erythromycin,1
esomeprazole,omeprazole,1
sertraline,b12,1
ketoprofen,diclofenac,1
dabigatran,amiodarone,1
b12,paroxetine,1
codeine,amiodarone,1
esomeprazole,erythromycin,1
rosuvastatin,lorazepam,1
simvastatin,warfarin,1
omeprazole,amiodarone,1
pantoprazole,enterogermina,1
morphine,edoxaban,1
alprazolam,warfarin,1
alprazolam,b12,1
paracetamol,vitamin d,1
warfarin,erythromycin,3
omeprazole,sertraline,1
dabigatran,clarithromycin,1
codeine,probiotic,1
codeine,amiodarone,1
paracetamol,apixaban,1
lorazepam,codeine,3
fluoxetine,oxycodone,2
amiodarone,fluoxetine,3
diclofenac,alprazolam,1
